Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Namibia,Africa,38644,1520.88,1349,53.09,220,418,16.45,16,0.63,0,Community transmission
Zimbabwe,Africa,35994,242.17,226,1.52,0,1458,9.81,26,0.17,0,Community transmission
Cyprus,Europe,34424,2851.18,1271,105.27,243,231,19.13,2,0.17,0,Clusters of cases
Senegal,Africa,34255,204.58,1625,9.71,224,866,5.17,71,0.42,9,Community transmission
Cameroon,Africa,33749,127.13,0,0,0,523,1.97,0,0,0,Community transmission
Côte d’Ivoire,Africa,32631,123.7,717,2.72,203,192,0.73,7,0.03,2,Community transmission
Malawi,Africa,31798,166.22,1270,6.64,123,1037,5.42,33,0.17,0,Community transmission
Sudan,Eastern Mediterranean,30347,69.21,170,0.39,0,1880,4.29,14,0.03,0,Community transmission
Australia,Western Pacific,28965,113.59,45,0.18,7,909,3.56,0,0,0,Clusters of cases
Botswana,Africa,28370,1206.4,1846,78.5,0,310,13.18,56,2.38,0,Community transmission
Thailand,South-East Asia,25951,37.18,536,0.77,70,83,0.12,0,0,0,Clusters of cases
Democratic Republic of the Congo,Africa,25791,28.8,712,0.79,647,707,0.79,7,0.01,7,Community transmission
Jamaica,Americas,22817,770.54,1893,63.93,346,417,14.08,26,0.88,4,Community transmission
Malta,Europe,22219,5032.13,1457,329.98,237,313,70.89,10,2.26,0,Clusters of cases
Angola,Africa,20782,63.23,283,0.86,23,506,1.54,8,0.02,2,Community transmission
Madagascar,Africa,19831,71.62,233,0.84,0,297,1.07,5,0.02,0,Community transmission
Maldives,South-East Asia,19597,3625.42,985,182.22,118,61,11.28,1,0.18,1,Clusters of cases
Rwanda,Africa,18790,145.07,802,6.19,101,261,2.02,14,0.11,3,Community transmission
French Polynesia,Western Pacific,18387,6545.56,41,14.6,0,139,49.48,2,0.71,0,Sporadic cases
Mauritania,Africa,17179,369.47,96,2.06,0,439,9.44,5,0.11,0,Community transmission
Eswatini,Africa,17002,1465.48,238,20.51,30,650,56.03,5,0.43,0,Community transmission
Mayotte,Africa,16861,6180.38,1069,391.84,0,102,37.39,10,3.67,0,Community transmission
French Guiana,Americas,16627,5566.79,98,32.81,0,85,28.46,2,0.67,0,Community transmission
Guinea,Africa,15894,121.03,591,4.5,105,89,0.68,3,0.02,1,Community transmission
Syrian Arab Republic,Eastern Mediterranean,15533,88.76,390,2.23,66,1023,5.85,27,0.15,5,Community transmission
Cabo Verde,Africa,15324,2756.18,325,58.45,71,147,26.44,4,0.72,1,Community transmission
Gabon,Africa,14564,654.35,1011,45.42,0,83,3.73,8,0.36,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Haiti,Americas,12430,109.01,156,1.37,0,250,2.19,3,0.03,0,Community transmission
Réunion,Africa,12416,1386.78,854,95.39,0,52,5.81,4,0.45,0,Community transmission
Belize,Americas,12293,3091.58,66,16.6,13,314,78.97,0,0,0,Community transmission
Burkina Faso,Africa,11982,57.32,199,0.95,43,142,0.68,3,0.01,0,Community transmission
Andorra,Europe,10849,14041.29,177,229.08,27,110,142.37,3,3.88,0,Community transmission
Lesotho,Africa,10491,489.72,30,1.4,23,292,13.63,7,0.33,0,Community transmission
Guadeloupe,Americas,9968,2491.23,513,128.21,0,164,40.99,4,1,0,Community transmission
Suriname,Americas,8913,1519.35,59,10.06,12,170,28.98,2,0.34,0,Clusters of cases
Congo,Africa,8820,159.84,195,3.53,0,128,2.32,1,0.02,0,Community transmission
Bahamas,Americas,8519,2166.34,100,25.43,0,179,45.52,0,0,0,Clusters of cases
Guyana,Americas,8513,1082.32,156,19.83,28,195,24.79,6,0.76,0,Clusters of cases
Mali,Africa,8365,41.31,73,0.36,7,352,1.74,5,0.02,2,Community transmission
Aruba,Americas,7804,7309.44,251,235.09,0,71,66.5,1,0.94,0,Community transmission
Trinidad and Tobago,Americas,7704,550.49,38,2.72,7,139,9.93,0,0,0,Community transmission
Guam,Western Pacific,7526,4459.19,19,11.26,1,131,77.62,1,0.59,1,Clusters of cases
South Sudan,Africa,7349,65.65,932,8.33,0,87,0.78,2,0.02,0,Community transmission
Somalia,Eastern Mediterranean,6991,43.99,1102,6.93,304,231,1.45,37,0.23,8,Community transmission
Togo,Africa,6851,82.75,583,7.04,121,83,1,2,0.02,1,Community transmission
Martinique,Americas,6746,1797.66,153,40.77,0,45,11.99,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,6065,613.87,43,4.35,3,63,6.38,0,0,0,Sporadic cases
Iceland,Europe,6049,1772.64,4,1.17,0,29,8.5,0,0,0,Community transmission
Equatorial Guinea,Africa,6005,428.02,207,14.75,48,91,6.49,2,0.14,0,Community transmission
Benin,Africa,5634,46.47,491,4.05,0,70,0.58,5,0.04,0,Community transmission
Nicaragua,Americas,5142,77.62,36,0.54,0,173,2.61,1,0.02,0,Community transmission
Central African Republic,Africa,4997,103.46,1,0.02,0,63,1.3,0,0,0,Community transmission
Niger,Africa,4740,19.58,7,0.03,0,172,0.71,2,0.01,0,Community transmission
Curaçao,Americas,4708,2869.1,42,25.6,0,22,13.41,0,0,0,Community transmission
Gambia,Africa,4691,194.11,148,6.12,20,148,6.12,5,0.21,1,Community transmission
Gibraltar,Europe,4236,12573.09,8,23.75,1,92,273.07,4,11.87,0,Clusters of cases
Chad,Africa,3973,24.19,179,1.09,39,140,0.85,7,0.04,3,Community transmission
Sierra Leone,Africa,3887,48.73,38,0.48,3,79,0.99,0,0,0,Community transmission
San Marino,Europe,3716,10949.38,244,718.96,45,74,218.04,2,5.89,1,Community transmission
Comoros,Africa,3571,410.65,81,9.31,13,144,16.56,1,0.11,0,Community transmission
Saint Lucia,Americas,3356,1827.62,496,270.11,207,35,19.06,7,3.81,1,Community transmission
Guinea-Bissau,Africa,3247,164.99,156,7.93,6,48,2.44,2,0.1,0,Community transmission
Jersey,Europe,3215,2954.96,2,1.84,1,69,63.42,1,0.92,0,Community transmission
Barbados,Americas,2994,1041.84,317,110.31,45,33,11.48,3,1.04,1,Community transmission
Mongolia,Western Pacific,2866,87.42,280,8.54,35,2,0.06,0,0,0,Clusters of cases
Eritrea,Africa,2847,80.28,162,4.57,0,7,0.2,0,0,0,Community transmission
United States Virgin Islands,Americas,2646,2533.88,71,67.99,10,25,23.94,0,0,0,Community transmission
Liechtenstein,Europe,2642,6927.66,22,57.69,0,52,136.35,0,0,0,Sporadic cases
Seychelles,Africa,2592,2635.57,264,268.44,30,11,11.18,1,1.02,0,Community transmission
Viet Nam,Western Pacific,2432,2.5,64,0.07,6,35,0.04,0,0,0,Clusters of cases
Yemen,Eastern Mediterranean,2273,7.62,112,0.38,2,632,2.12,13,0.04,2,Community transmission
Burundi,Africa,2209,18.58,178,1.5,28,3,0.03,0,0,0,Community transmission
Turks and Caicos Islands,Americas,2099,5421.25,101,260.86,11,14,36.16,0,0,0,Clusters of cases
Sint Maarten,Americas,2051,4782.89,24,55.97,0,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,2016,41.81,22,0.46,0,26,0.54,0,0,0,Clusters of cases
Liberia,Africa,2010,39.74,22,0.43,0,85,1.68,0,0,0,Community transmission
Monaco,Europe,1953,4976.56,88,224.24,11,24,61.16,2,5.1,1,Sporadic cases
Sao Tome and Principe,Africa,1786,814.93,208,94.91,41,28,12.78,7,3.19,0,Community transmission
Saint Vincent and the Grenadines,Americas,1556,1402.56,58,52.28,26,8,7.21,2,1.8,0,Community transmission
Saint Martin,Americas,1554,4019.76,98,253.5,0,12,31.04,0,0,0,Community transmission
Papua New Guinea,Western Pacific,1275,14.25,246,2.75,0,12,0.13,2,0.02,0,Community transmission
Bhutan,South-East Asia,867,112.36,1,0.13,0,1,0.13,0,0,0,Clusters of cases
Guernsey,Europe,819,1295.97,9,14.24,1,14,22.15,0,0,0,Community transmission
Cambodia,Western Pacific,805,4.81,272,1.63,39,0,0,0,0,0,Sporadic cases
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Antigua and Barbuda,Americas,726,741.35,128,130.71,25,14,14.3,3,3.06,0,Clusters of cases
Bermuda,Americas,705,1132.11,6,9.63,0,12,19.27,0,0,0,Sporadic cases
Faroe Islands,Europe,658,1346.57,0,0,0,1,2.05,0,0,0,Sporadic cases
Saint Barthélemy,Americas,612,6191.2,137,1385.94,0,0,0,0,0,0,Clusters of cases
Mauritius,Africa,610,47.96,7,0.55,0,10,0.79,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Isle of Man,Europe,475,558.61,26,30.58,0,25,29.4,0,0,0,No cases
Cayman Islands,Americas,438,666.46,10,15.22,0,2,3.04,0,0,0,Sporadic cases
Bonaire,Americas,406,1941.19,19,90.84,0,4,19.13,0,0,0,Community transmission
Brunei Darussalam,Western Pacific,186,42.52,1,0.23,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,153,506,0,0,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,148,131.53,0,0,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,143,248.45,0,0,0,2,3.47,0,0,0,Pending
Dominica,Americas,142,197.25,8,11.11,0,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,113,8.57,10,0.76,3,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,59,6.58,3,0.33,0,2,0.22,0,0,0,Sporadic cases
New Caledonia,Western Pacific,58,20.32,3,1.05,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,2,57.42,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0.62,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,52.84,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,9,80.03,0,0,0,0,0,0,0,0,Sporadic cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,0.33,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
